('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081724.875_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081730.383_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081734.949_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081851.014_face.jpg', u'female', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_082655.159_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_082715.858_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_082830.135_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_082834.243_face.jpg', u'male', u'Richard')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_082837.319_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_082841.124_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_082848.173_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_082852.153_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_082857.023_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_082903.319_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083009.053_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083116.374_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083212.528_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083223.539_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083240.060_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083249.561_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083300.787_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083306.464_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083308.703_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083310.470_face.jpg', u'male', u'Guillermo')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083317.023_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083319.642_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083322.129_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083324.324_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083327.854_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083346.541_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083419.872_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083435.275_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_083707.328_face.jpg', u'male', u'Henny')
